Geneid	Chr	Start	End	Strand	Length	alignment/bam/SRR20707035_sorted.bam	alignment/bam/SRR20707036_sorted.bam	alignment/bam/SRR20707037_sorted.bam	alignment/bam/SRR20707038_sorted.bam	alignment/bam/SRR20707039_sorted.bam	alignment/bam/SRR20707040_sorted.bam	alignment/bam/SRR20707041_sorted.bam	alignment/bam/SRR20707042_sorted.bam	alignment/bam/SRR20707043_sorted.bam	alignment/bam/SRR20707044_sorted.bam	alignment/bam/SRR20707045_sorted.bam	alignment/bam/SRR20707047_sorted.bam	alignment/bam/SRR20707048_sorted.bam	alignment/bam/SRR20707049_sorted.bam	alignment/bam/SRR20707050_sorted.bam	alignment/bam/SRR20707051_sorted.bam	alignment/bam/SRR20707053_sorted.bam	alignment/bam/SRR20707054_sorted.bam	alignment/bam/SRR20707056_sorted.bam	alignment/bam/SRR20707058_sorted.bam	alignment/bam/SRR20707059_sorted.bam	alignment/bam/SRR20707060_sorted.bam	alignment/bam/SRR20707061_sorted.bam	alignment/bam/SRR20707062_sorted.bam	alignment/bam/SRR20707063_sorted.bam	alignment/bam/SRR20707064_sorted.bam	alignment/bam/SRR20707065_sorted.bam	alignment/bam/SRR20707066_sorted.bam	alignment/bam/SRR20707067_sorted.bam	alignment/bam/SRR20707068_sorted.bam	alignment/bam/SRR20707069_sorted.bam	alignment/bam/SRR20707070_sorted.bam	alignment/bam/SRR20707071_sorted.bam	alignment/bam/SRR20707072_sorted.bam	alignment/bam/SRR20707073_sorted.bam	alignment/bam/SRR20707074_sorted.bam	alignment/bam/SRR20707075_sorted.bam	alignment/bam/SRR20707076_sorted.bam	alignment/bam/SRR20707077_sorted.bam	alignment/bam/SRR20707078_sorted.bam	alignment/bam/SRR20707079_sorted.bam	alignment/bam/SRR20707080_sorted.bam	alignment/bam/SRR20707081_sorted.bam	alignment/bam/SRR20707082_sorted.bam	alignment/bam/SRR20707083_sorted.bam	alignment/bam/SRR20707084_sorted.bam	alignment/bam/SRR20707085_sorted.bam	alignment/bam/SRR20707086_sorted.bam	alignment/bam/SRR20707087_sorted.bam	alignment/bam/SRR20707088_sorted.bam	alignment/bam/SRR20707089_sorted.bam	alignment/bam/SRR20707090_sorted.bam	alignment/bam/SRR20707091_sorted.bam	alignment/bam/SRR20707092_sorted.bam	alignment/bam/SRR20707093_sorted.bam	alignment/bam/SRR20707094_sorted.bam	alignment/bam/SRR20707095_sorted.bam	alignment/bam/SRR20707096_sorted.bam	alignment/bam/SRR20707097_sorted.bam	alignment/bam/SRR20707098_sorted.bam	alignment/bam/SRR20707099_sorted.bam	alignment/bam/SRR20707100_sorted.bam	alignment/bam/SRR20707101_sorted.bam	alignment/bam/SRR20707102_sorted.bam	alignment/bam/SRR20707103_sorted.bam	alignment/bam/SRR20707104_sorted.bam	alignment/bam/SRR20707105_sorted.bam	alignment/bam/SRR20707106_sorted.bam	alignment/bam/SRR20707107_sorted.bam	alignment/bam/SRR20707108_sorted.bam	alignment/bam/SRR20707109_sorted.bam	alignment/bam/SRR20707110_sorted.bam	alignment/bam/SRR20707111_sorted.bam	alignment/bam/SRR20707112_sorted.bam	alignment/bam/SRR20707113_sorted.bam	alignment/bam/SRR20707114_sorted.bam	alignment/bam/SRR20707115_sorted.bam	alignment/bam/SRR20707116_sorted.bam	alignment/bam/SRR20707117_sorted.bam	alignment/bam/SRR20707119_sorted.bam	alignment/bam/SRR20707120_sorted.bam	alignment/bam/SRR20707121_sorted.bam	alignment/bam/SRR20707122_sorted.bam	alignment/bam/SRR20707123_sorted.bam	alignment/bam/SRR20707124_sorted.bam	alignment/bam/SRR20707125_sorted.bam	alignment/bam/SRR20707127_sorted.bam	alignment/bam/SRR20707129_sorted.bam	alignment/bam/SRR20707131_sorted.bam	alignment/bam/SRR20707133_sorted.bam	alignment/bam/SRR20707134_sorted.bam	alignment/bam/SRR20707135_sorted.bam	alignment/bam/SRR20707136_sorted.bam	alignment/bam/SRR20707137_sorted.bam	alignment/bam/SRR20707139_sorted.bam	alignment/bam/SRR20707140_sorted.bam	alignment/bam/SRR20707141_sorted.bam	alignment/bam/SRR20707142_sorted.bam	alignment/bam/SRR20707143_sorted.bam	alignment/bam/SRR20707144_sorted.bam	alignment/bam/SRR20707145_sorted.bam	alignment/bam/SRR20707146_sorted.bam	alignment/bam/SRR20707147_sorted.bam	alignment/bam/SRR20707148_sorted.bam	alignment/bam/SRR20707149_sorted.bam	alignment/bam/SRR20707151_sorted.bam	alignment/bam/SRR20707152_sorted.bam	alignment/bam/SRR20707153_sorted.bam	alignment/bam/SRR20707154_sorted.bam	alignment/bam/SRR20707155_sorted.bam	alignment/bam/SRR20707156_sorted.bam	alignment/bam/SRR20707157_sorted.bam	alignment/bam/SRR20707158_sorted.bam	alignment/bam/SRR20707159_sorted.bam	alignment/bam/SRR20707160_sorted.bam	alignment/bam/SRR20707161_sorted.bam	alignment/bam/SRR20707162_sorted.bam	alignment/bam/SRR20707163_sorted.bam	alignment/bam/SRR20707164_sorted.bam	alignment/bam/SRR20707165_sorted.bam	alignment/bam/SRR20707166_sorted.bam	alignment/bam/SRR20707167_sorted.bam	alignment/bam/SRR20707168_sorted.bam	alignment/bam/SRR20707169_sorted.bam	alignment/bam/SRR20707170_sorted.bam
YDR508C	ref|NC_001136|	1466453	1468444	-	1992	445	0	0	2	35	19	8	0	5	321	68	247	48	374	19	87	1	64	0	0	407	205	96	0	441	339	103	837	118	184	67	3	108	334	439	93	54	0	51	68	170	0	24	78	8	20	267	1	0	28	0	235	243	33	0	0	28	3	240	48	0	0	0	80	15	1	144	110	274	158	11	0	89	0	104	15	14	516	0	72	0	192	1	13	0	295	28	212	9	230	619	4	49	332	1	6	136	89	40	6	85	2	5	31	5	12	0	216	130	17	10	84	429	16	135	515	717	48	22	74	223	347	442	365	234
YDR462W	ref|NC_001136|	1386073	1386516	+	444	0	31	0	0	0	57	0	0	0	17	0	5	2	61	27	38	0	15	0	0	26	3	3	0	0	0	0	29	30	0	26	62	0	48	43	0	3	0	0	0	0	0	0	9	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	5	0	0	0	0	26	0	0	0	88	0	0	26	0	0	0	28	1	0	0	64	0	0	0	0	0	0	0	0	83	28	0	0	1	0	0	0	22	5	0	0	67	0	0	0	0	0	0	0	0	80	0	6	15	95	0	0	154	0	0	0	0	8
YDR175C	ref|NC_001136|	813193	814152	-	960	167	0	0	0	0	195	9	0	161	89	0	56	0	0	0	3	0	0	14	95	0	0	0	0	0	0	0	0	0	6	0	0	0	379	0	406	0	0	0	2	0	0	86	0	59	0	2	0	44	0	0	22	0	0	0	0	117	35	0	161	14	0	0	0	193	0	0	91	0	90	52	95	159	0	81	0	113	187	0	0	256	0	0	6	0	422	2	0	0	15	0	11	0	0	62	0	0	383	2	0	0	17	0	0	0	0	0	0	20	0	64	1	108	2	0	0	174	0	0	0	0	0	0	0	0
YDR186C	ref|NC_001136|	832859	835492	-	2634	4	159	10	0	102	0	0	165	0	17	0	64	0	61	0	9	0	0	0	0	0	0	0	0	0	0	0	475	25	0	218	0	0	0	153	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	61	0	0	0	0	2	0	0	148	0	0	51	113	0	1	0	0	0	46	0	0	0	3	244	0	131	6	0	0	0	0	0	32	1	0	19	0	0	194	0	0	114	4	0	283	10	7	0	3	0	44	0	8	0	19	0	0	0	0	160	0	0	0	0	0	0
YDR150W	ref|NC_001136|	755628	763874	+	8247	0	6	35	25	226	23	0	0	108	19	39	267	33	25	0	24	57	161	0	39	0	7	33	7	8	0	126	25	30	11	0	218	7	5	12	0	0	0	184	65	0	4	10	0	0	104	0	0	51	0	143	0	0	68	345	26	34	198	0	2	0	0	39	0	274	5	0	0	149	350	0	1	50	18	28	290	24	40	0	372	0	0	1	0	0	19	0	92	73	0	599	73	6	8	0	0	0	1	330	756	2	8	28	0	18	6	197	148	33	196	0	140	257	2	500	32	106	0	0	118	219	0	7	55	0
YDR243C	ref|NC_001136|	948518	950284	-	1767	10	0	62	0	0	38	0	0	7	79	0	0	0	0	0	0	0	49	0	0	0	36	0	0	0	0	0	0	34	0	0	0	0	0	0	2	0	1	0	2	0	2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	10	0	0	0	1	0	0	0	153	0	0	0	0	0	93	0	0	0	0	0	77	0	0	13	4	0	61	0	0	0	0	2	0	68	134	0
YDL182W	ref|NC_001136|	133437	134723	+	1287	113	1	14	2062	30	252	7	102	19	0	15	23	8	0	19	50	20	253	0	14	17	0	1	47	136	5	175	161	89	18	0	1	31	193	157	0	77	1	43	0	62	26	28	85	214	2	234	0	0	52	0	0	2	0	16	0	0	14	0	112	0	1237	9	0	0	11	62	0	0	0	41	36	0	190	54	0	134	155	1	0	55	0	244	26	88	125	0	281	11	54	204	83	164	67	0	93	0	136	0	24	15	0	25	138	21	2	0	150	8	0	0	7	622	158	1	205	222	0	0	416	56	80	5	207	0
YDR362C	ref|NC_001136|	1196679	1198697	-	2019	50	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	150	0	0	0	0	0	0	63	0	0	0	0	0	227	0	0	0	0	0	18	0	22	0	0	0	0	54	0	56	0	0	0	0	10	0	7	0	0	0	0	0	0	35	212	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	371	0	0	16	1	0	0
YDR232W	ref|NC_001136|	927452	929098	+	1647	36	0	133	143	0	78	0	0	0	0	25	182	89	28	0	1	0	45	0	0	75	17	6	220	0	0	32	325	0	24	0	0	84	0	87	0	79	129	0	0	124	0	0	17	38	0	264	44	189	18	0	0	0	77	0	0	160	268	0	62	0	300	43	0	0	0	1	69	0	0	14	0	0	0	0	0	0	0	109	0	0	2	0	0	0	491	0	0	0	0	0	0	0	0	2	0	0	0	0	0	763	0	33	191	0	0	0	32	0	155	85	29	0	4	0	173	57	181	0	130	0	57	0	0	0
YDR158W	ref|NC_001136|	770357	771454	+	1098	810	237	0	501	456	135	244	625	0	255	297	278	0	113	257	0	0	339	13	403	104	427	335	191	398	0	56	448	728	625	248	297	11	91	387	309	130	1	343	5	215	316	101	116	187	116	525	0	185	156	125	147	0	39	0	0	112	242	353	742	51	1493	0	1	154	0	0	277	203	108	199	780	113	479	387	40	220	998	4	0	474	83	316	0	265	408	0	46	135	5	115	143	164	310	55	94	0	31	0	326	46	327	0	131	0	174	214	285	108	40	147	162	481	18	203	758	45	152	141	1018	0	22	84	5	38
YDR439W	ref|NC_001136|	1339676	1340719	+	1044	0	175	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	6	0	0	17	0	0	0	0	0	46	0	250	0	4	0	105	0	0	0	244	0	0	184	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	20	0	0	0	0	0	0	0	1	10	0	0	0	2	0	0	0	0	0	42	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	143	102	0	0	26	0	0	0	0	2
YDL206W	ref|NC_001136|	90176	92464	+	2289	0	0	0	0	0	51	0	0	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	17	142	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	184	0	0	99	0	0	149	42	0	0	9	0	0	16	1	3	461	313	0	0	0	0	0	47	0	0	0	14	0	1	0	0	0	0	4	0	0	379	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR125C	ref|NC_001136|	701397	702758	-	1362	0	0	0	50	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	50	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	199	0	0	0	0	0	0	0
YDR338C	ref|NC_001136|	1147379	1149466	-	2088	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	101	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	2	0	0	319	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR526C	ref|NC_001136|	1491075	1491545	-	471	1	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
YDR533C	ref|NC_001136|	1501447	1502160	-	714	333	544	1379	1241	445	86	133	675	32	313	75	244	150	110	302	40	1	116	77	117	114	20	133	458	11	18	0	235	788	73	225	223	94	147	267	72	134	172	79	504	269	45	190	136	22	206	165	260	162	9	50	0	51	17	291	40	0	9	173	1877	288	2009	217	379	1095	157	134	690	595	229	276	917	599	914	146	176	1044	853	518	95	315	239	384	35	340	664	23	176	92	22	99	134	264	330	27	130	53	32	150	364	4	632	7	310	0	8	0	103	17	0	58	37	177	32	1	57	114	0	0	119	77	0	10	38	0
YDR272W	ref|NC_001136|	1009010	1009834	+	825	241	0	167	242	0	75	0	75	15	0	20	0	40	0	0	25	0	69	57	122	0	65	4	41	51	0	0	0	0	0	78	0	60	0	0	32	0	1	14	0	21	7	0	4	71	0	0	0	0	24	0	59	38	0	0	0	0	1	51	240	29	441	38	0	0	0	16	34	96	7	15	16	10	230	0	0	0	0	138	0	0	143	31	0	57	206	4	0	0	9	58	0	14	0	0	0	0	117	0	0	2	69	0	101	11	0	0	26	0	0	0	43	84	184	192	0	0	0	117	0	0	61	261	18	12
YDR197W	ref|NC_001136|	851228	852397	+	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	66	2	0	0	7	0	0	0	0	0	133	66	0	0	0	11	3	0	0	21	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	34	0	0	0	0	0	4	0	0	0	4	0	62	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	3	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	5	0
YDR512C	ref|NC_001136|	1470500	1471063	-	564	0	22	108	167	30	76	0	0	23	63	0	25	2	1	0	36	0	9	0	0	20	17	0	65	101	0	15	6	72	7	28	0	120	0	48	18	67	80	0	98	60	11	53	0	55	166	0	0	0	0	0	0	8	0	0	0	5	11	0	27	0	186	2	61	2	0	154	0	68	0	16	222	10	56	10	0	23	6	0	62	0	0	0	0	0	0	0	10	0	9	0	0	55	0	25	0	193	2	18	0	48	0	84	6	14	10	10	0	0	0	13	49	48	19	0	0	35	0	40	0	51	0	0	22	0
YDR489W	ref|NC_001136|	1431012	1431896	+	885	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	55	0	40	0	11	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	16	0	0	4	0	1	0	112	0	0	95	2	0	0	0	0	0	101	0	0	95	160	0	0	0	0	6	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5	0	162	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YDR299W	ref|NC_001136|	1059627	1061231	+	1605	99	5	0	0	8	0	37	0	0	0	0	23	69	10	0	6	0	54	147	24	0	2	10	4	23	0	0	74	0	0	0	12	0	0	79	3	27	0	54	4	54	0	0	1	85	14	0	20	0	0	0	0	0	15	0	39	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	14	4	9	0	23	0	42	0	0	50	187	0	6	11	24	0	0	0	9	116	3	46	21	10	0	69	31	3	0	38	20	0
